cname1,ccode1,territor,river,maritime,milex_i,milper_i,cinc_i,domrel_i,englishlanguage_i,frenchlanguage_i,arabiclanguage_i,spanishlanguage_i,navaltonnage_i,jointigo,same_major_relig,corr_relig,ptacnt,capitaldistance,centdistance,mindistance,polity2_i,xrreg_i,xrcomp_i,xropen_i,xconst_i,parreg_i,parcomp_i,exrec_i,exconst_i,polcomp_i,gdp_i,gdpcap_i,pop_i,infantmortality_i,fdiingdp_i,fdioutgdp_i,aidgni_i,fuelexports_i,r_eastasia,r_europe,r_latin,r_me,r_none,r_na,r_southasia,r_africa,migration_ij,migration_ji,trade_ij,expfob_ij,expfob_ji
MALI,432,0,0,0,40937.44532639934,8.2494869,.000443494142603,2,0,1,0,0,0,13.219652,.23526002,.2430139380896811,.54595047,6643.2153,6422.1587,5164.2588,9.1168747,.060900506,-.8266046,-.10619953,.63254416,1.1457506,-.098809361,3.4798138,.63254416,1.5872451,4293853629.71347,482.3408092652892,8232873.137128781,148.3362865621049,.7908201142508682,.0584909444573187,14.61993521209097,.709877030246849,0,0,0,0,0,0,0,1,5438341,3513564,23848676181.86811,5520412919.841883,15799814346.34769
MALTA,338,0,0,0,17905.7467057101,2.1956077,.000033226852123,1,1,0,0,0,0,15.167204,.60358691,.6067778946104997,.11647727,5872.7329,5878.4072,5407.3643,,,,,,,,,,,4332858527.159088,11871.025207907,347264.2142020498,13.47503660322097,18.63926107113671,18.28283785771365,2.152850331872525,.1396704039157432,0,0,0,1,0,0,0,0,3899443,2539364,97398354804.52809,29368908748.68644,69360434951.31201
MARSHALL ISLANDS,983,0,0,0,0,0,1.67512575275e-06,1,1,0,0,0,0,.13738932,.63978755,.6407834630715166,.035321366,12507.168,12372.681,11893.479,,,,,,,,,,,137988191.1943815,2755.326169440409,50058.77320765496,35.47046558126257,24.66927820716917,2.821387245838122,39.08019704699917,,1,0,0,0,0,0,0,0,463068,677789,0,0,0
MAURITANIA,435,0,0,0,27118.39646913918,11.651156,.0001915890379089,2,0,0,0,0,0,13.679212,.23526002,.2239630543414837,.5851168,6770.0454,6560.6152,5369.2798,4.4588752,2,1,4,3.0309293,3.9738607,1.3863418,3,3.0309293,1.4124812,1976378869.27886,1072.216945005179,1869956.947447653,85.7864239770088,2.729389325922524,.0495881233609412,20.93693160991131,.6424574572592862,0,0,0,0,0,0,0,1,4518700,3221140,30540256783.24965,11655391271.48423,14221653614.54825
MAURITIUS,590,0,0,0,15687.96302174258,-.64989686,.0000728164577051,0,1,0,0,0,0,7.438343,.012303486,.3967672300299403,.48866579,8476.7002,8489.2402,7999.5771,20.688303,3,3,4,7,4.0649104,4.6883035,8,7,9.688303,4440012999.314797,3991.580270244599,1045181.681955245,28.0108395492777,.7731249650069808,.2297446165623018,1.972422849698426,.2157760308249601,0,0,0,0,0,0,0,1,3691731,3792113,76369229021.55844,30720236499.39267,32878650454.52784
MEXICO,70,.00060240965,.0632530120481928,.00060240965,1511182.379575848,140.94246,.0118549310414699,1,0,0,0,1,14089.96298797785,23.696474,.60031462,.6023475374667945,.41665515,10539.515,10539.604,8802.999,10.436174,2.1543968,1.4626503,4,3.8614075,2.8561394,2.8996353,4.3874106,3.8614075,5.6370392,551482552955.9006,6845.310171102909,76416869.19721735,49.45943536404082,1.652869006168642,.156267625266415,.0835679289949038,21.76839397904356,0,0,1,0,0,0,0,0,6444513,7052376,4483886667047.427,2020071300485.994,1860462326195.323
"MICRONESIA, FEDERATED STATES OF",987,0,0,0,0,0,6.29763726532e-06,1,1,0,0,0,0,.065124251,.63978755,.6437437322210589,.035321366,12080.854,12031.566,11448.197,,,,,,,,,,,269221266.7815403,2589.824677036748,103654.891459583,41.64447300771217,-3.652505998236203,,42.25164068521411,,1,0,0,0,0,0,0,0,1231695,1299022,0,0,0
"MOLDOVA, REPUBLIC OF",359,0,0,0,111810.5501130369,9.7098722,.0004996765259985,1,0,0,0,0,0,13.888093,.63978755,.6448003609532544,.13839115,5950.9976,5953.0913,5385.1284,18.292389,2.3590806,2.3590806,4,6.8613415,2,3.0719669,7.3590808,6.8613415,7.1439338,3979654355.885092,1095.020086497724,3649832.669932178,25.96733232856116,4.787904366243162,.0191616366742612,6.017839408324124,.5966805687600135,0,1,0,0,0,0,0,0,2679373,355910,28597248534.67576,9046846600,18723263373.18119
MONACO,221,0,0,0,0,-.68502027,2.54867611336e-06,1,0,1,0,0,0,4.4280696,.63978755,.6495394826788667,.0059384061,5923.4937,5935.4707,5463.5381,,,,,,,,,,,,,28063.71538565447,5.283633046650992,,,0,,0,1,0,0,0,0,0,0,2078253,8329701,0,0,0
MONGOLIA,712,0,0,0,98821.36458192625,23.980818,.0003609719302985,0,0,0,0,0,0,2.2709713,.061633062,.0390894901147371,0,8519.3311,8330.7969,6940.5635,10.40281,2.3585033,1.7625287,4,4.5250573,4.0086451,2.3780899,4.9746051,4.5250573,4.2161288,3632453169.693475,1637.533544558138,1863434.471835742,72.97853844609645,2.856198072466283,.0911442816304428,9.692852008377482,1.541097674113575,1,0,0,0,0,0,0,0,1800811,1410238,17664141237.25192,7905323410.567098,9152546248.103689
